x,y
0.0,0.0
110.90434381187775,63.70889067994528
221.8086876237555,126.77425721160829
332.7130314356333,189.19609959498902
443.617375247511,250.97441783008748
554.5217190593888,312.10921191690363
665.4260628712666,372.6004818554375
776.3304066831444,432.4482276456892
887.234750495022,491.65244928765856
998.1390943068998,550.2131467813456
1109.0434381187777,608.1303201267503
1219.9477819306555,665.4039693238731
1330.8521257425332,722.0340943727132
1441.7564695544108,778.0206952732711
1552.6608133662887,833.3637720255468
1663.5651571781664,888.0633246295404
1774.469500990044,942.1193530852514
1885.373844801922,995.5318573926802
1996.2781886137996,1048.3008375518268
2107.1825324256774,1100.4262935626914
2218.0868762375553,1151.9082254252733
2328.9912200494327,1202.7466331395729
2439.895563861311,1252.9415167055906
2550.7999076731885,1302.492876123326
2661.7042514850664,1351.4007113927787
2772.608595296944,1399.6650225139492
2883.5129391088217,1447.2858094868377
2994.4172829206996,1494.263072311444
3105.3216267325774,1540.5968109877676
3216.225970544455,1586.287025515809
3327.1303143563327,1631.3337158955687
3438.0346581682106,1675.7368821270456
3548.939001980088,1719.4965242102403
3659.8433457919664,1762.6126421451527
3770.747689603844,1805.0852359317828
3881.6520334157217,1846.9143055701306
3992.556377227599,1888.0998510601967
4103.460721039477,1928.64187240198
4214.365064851355,1968.540369595481
4325.269408663232,2007.7953426406998
4436.173752475111,2046.4067915376363
4547.0780962869885,2084.3747162862905
4657.9824400988655,2121.6991168866625
4768.886783910743,2158.3799933387522
4879.791127722622,2194.41734564256
4990.695471534499,2229.811173798085
5101.599815346377,2264.5614778053277
5212.504159158254,2298.6682576642884
5323.408502970133,2332.1315133749667
5434.312846782011,2364.951244937363
5545.217190593888,2397.127452351476
5656.1215344057655,2428.660135617308
5767.025878217643,2459.5492947348575
5877.930222029521,2489.794929704124
5988.834565841399,2519.397040525109
6099.738909653276,2548.3556271978114
6210.643253465155,2576.670689722231
6321.547597277033,2604.342228098369
6432.45194108891,2631.370242326225
6543.356284900788,2657.7547324057978
6654.2606287126655,2683.4956983370894
6765.164972524543,2708.593140120098
6876.069316336421,2733.0470577548244
6986.973660148299,2756.857451241269
7097.878003960176,2780.0243205794304
7208.782347772054,2802.54766576931
7319.686691583933,2824.4274868109073
7430.59103539581,2845.663783704222
7541.495379207688,2866.256556449255
7652.399723019566,2886.2058050460055
7763.304066831443,2905.5115294944735
7874.20841064332,2924.1737297946597
7985.112754455198,2942.192405946564
8096.017098267077,2959.567557950186
8206.921442078954,2976.2991858055248
8317.825785890831,2992.3872895125814
8428.73012970271,3007.8318690713563
8539.634473514587,3022.6329244818485
8650.538817326464,3036.7904557440584
8761.443161138344,3050.3044628579864
8872.347504950221,3063.174945823632
8983.251848762098,3075.401904640995
9094.156192573977,3086.9853393100757
9205.060536385854,3097.9252498308742
9315.964880197731,3108.2216362033905
9426.86922400961,3117.874498427625
9537.773567821487,3126.8838365035767
9648.677911633366,3135.249650431246
9759.582255445244,3142.9719402106343
9870.486599257121,3150.050705841739
9981.390943068998,3156.485947324562
10092.295286880875,3162.2776646591024
10203.199630692754,3167.42585784536
10314.103974504631,3171.9305268833364
